52251-0751-039,0,11,15.23,14,46,1.8,4.9672,11.23,0,2.68,0,0
52519-0686-065,0,11,32.02,0,5,41.6,2.8882,10.14,0,1.25,0,0
52251-0752-378,0,11,34.52,15,51,37.4,4.325,7.45,0,3.19,1,0
52251-0752-438,0,11,42.79,15,22,16.3,1.8846,12.92,0,1.03,0,0
52913-1089-211,0,11,49.64,0,27,26.9,2.7067,11.88,0,1.44,0,0
52138-0652-264,0,11,57.76,-10,37,35.1,1.8578,11.25,0,1.28,0,0
52251-0752-240,0,12,5.03,14,41,22.2,2.5221,6.53,0,1.3,1,1
52519-0686-004,0,12,17.08,0,54,37.6,3.6038,18.74,0,2.72,3,1
52519-0686-586,0,12,23.56,0,38,0,1.8591,6.17,0,0.69,2,1
52518-0687-265,0,12,29.71,0,0,37.8,2.037,9.47,0,1.54,0,0
52994-1490-624,0,12,40.23,0,24,33.6,2.6156,14.25,0,1.34,3,2
52251-0752-220,0,12,40.57,13,52,36.7,3.1866,6.26,0,3.11,2,1
52251-0752-217,0,12,44.62,14,11,12.9,1.7047,10.46,0,1.36,0,0
51795-0389-387,0,12,47.12,0,12,39.5,2.1538,11.03,0,1.44,1,0
52138-0652-336,0,12,55.36,-9,14,25.7,3.0076,5.33,0,1.05,3,0
51793-0388-624,0,13,6.15,0,4,31.9,2.1638,11.87,0,1.98,4,3
52251-0752-202,0,13,14.02,14,1,38.8,2.2099,8.44,0,1.64,1,1
52518-0687-243,0,13,22.28,-1,12,39.4,2.2992,12.1,0,1.46,0,0
52518-0687-366,0,13,27.52,1,6,46.5,3.0767,7.51,0,0.68,0,0
52251-0752-204,0,13,28.2,13,58,28,3.5755,13.01,0,1.7,0,0
51795-0389-385,0,13,30.57,0,18,14.2,1.8445,9.35,0,0.74,0,0
52251-0752-194,0,13,41.74,14,35,31.3,1.933,6.16,0,1.72,0,0
51795-0389-412,0,14,0.45,0,42,55.4,1.7105,9.29,0,1.58,0,0
52138-0652-437,0,14,9.91,-9,30,20.3,2.1644,10.08,0,2.48,1,1
52251-0752-511,0,14,28.29,15,2,32,2.1742,9.11,0,1.44,1,1
52996-1491-128,0,14,43.69,-1,12,6.4,2.7182,8.32,0,3.04,1,1
51795-0389-239,0,14,53.36,0,28,27.6,1.9225,9.82,0,1.55,4,0
52913-1089-132,0,14,56.51,0,1,8,2.6399,8.15,0,0.98,0,0
51795-0389-196,0,15,7,0,8,0.9,1.7029,5.51,0,3.06,0,0
52251-0752-531,0,15,12.45,15,52,48.3,3.2112,6.42,0,1.24,3,2
52138-0652-184,0,15,13.64,-10,0,44.6,2.0651,7.42,0,1.29,0,0
52518-0687-471,0,15,20.54,0,27,16.5,3.6867,10.17,0,1.13,1,1
51795-0389-497,0,15,49.08,0,17,32,3.0661,7.27,0,0.94,0,0
51795-0389-178,0,16,2.4,0,12,25,2.0876,14.98,0,1.52,8,3
52518-0687-130,0,16,11.86,-1,5,18.4,2.0882,17.29,0,1.69,1,0
52138-0652-172,0,16,17.04,-10,4,19.2,2.438,12.4,0,1.47,0,0
51795-0389-506,0,16,30.74,0,32,35.6,2.1055,8.94,0,1.11,0,0
